Review,Liked
The food had a strange and off-putting smell.,0
The prices were way too high for the quality.,0
Crostini that came with the salad was stale.,0
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,0
Interesting decor.,1
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,0
"It was attached to a gas station, and that is rarely a good sign.",0
Tonight I had the Elk Filet special...and it sucked.,0
The food had a strange and unpleasant appearance.,0
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1
I can take a little bad service but the food sucks.,0
The goat taco didn't skimp on the meat and wow what FLAVOR!,1
"The restaurant had a cold ambiance, lacking warmth and coziness.",0
The food was overseasoned and overwhelmed with spices.,0
The food lacked variety and creativity.,0
The staff was unresponsive and did not address our concerns.,0
I had a pretty satifying experience.,1
My gyro was basically lettuce only.,0
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,0
I'd love to go back.,1
The restaurant had unclean and sticky tables.,0
I was seated immediately.,1
I'll definitely be in soon again.,1
The portions were disappointing and left us unsatisfied.,0
Everything was perfect the night we were in.,1
This place is hands-down one of the best places to eat in the Phoenix metro area.,1
The lighting is just dark enough to set the mood.,1
"Your servers suck, wait, correction, our server Heimer sucked.",0
The restaurant had a noisy and chaotic atmosphere.,0
The food was undercooked and raw.,0
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1
"Overall, a great experience.",1
The dishes were overly spicy and unbearable.,0
The restaurant had a range of dairy-free options.,1
The portions were ample and great value for money.,1
The restaurant had a range of vegetarian and vegan options.,1
The portion sizes were ridiculously small.,0
The restaurant had unclean restrooms and unpleasant odors.,0
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0
The restaurant had a charming and cozy atmosphere.,1
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1
"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",1
That's right....the red velvet cake.....ohhh this stuff is so good.,1
The waiters were impolite and seemed disinterested.,0
The food had a perfect balance of spices and flavors.,1
The portions were generous and left us feeling satisfied.,1
The utensils and tableware were dirty.,0
The restaurant had limited choices for vegetarians and vegans.,0
The staff was professional and provided excellent service.,1
The WORST EXPERIENCE EVER.,0
Food was really boring.,0
Waitress was a little slow in service.,0
The service was excellent and attentive.,1
The service was poor and thats being nice.,0
The seafood was fresh and generous in portion.,1
The restaurant had a cozy and welcoming atmosphere.,1
Google mediocre and I imagine Smashburger will pop up.,0
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1
The only thing I did like was the prime rib and dessert section.,1
The food was too salty and overly seasoned.,0
The Veggitarian platter is out of this world!,1
Everything was good and tasty!,1
The ambiance isn't much better.,0
"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",1
The service here leaves a lot to be desired.,0
The staff was rude and unhelpful.,0
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,0
The worst was the salmon sashimi.,0
(The bathroom is just next door and very nice.),1
The service was meh.,0
Eclectic selection.,1
"Anyway, this FS restaurant has a wonderful breakfast/lunch.",1
I've had better atmosphere.,0
"Probably never coming back, and wouldn't recommend it.",0
The waiters were friendly and offered exceptional service.,1
The restaurant had a cozy and inviting atmosphere.,1
The food had an odd and unpleasant aftertaste.,0
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1
The food had a weird aftertaste.,0
They know how to make them here.,1
But I don't like it.,0
This is one of the best bars with food in Vegas.,1
It was just not a fun experience.,1
From what my dinner companions told me...everything was very fresh with nice texture and taste.,1
When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,1
Con: spotty service.,0
The staff was unhelpful and didn't accommodate our needs.,0
"The restaurant had poor acoustics, making it noisy.",0
"The food sucked, which we expected but it sucked more than we could have imagined.",0
Food was great and so was the serivce!,1
I promise they won't disappoint.,1
The food was a gastronomic delight with its unique flavors.,1
Very disappointing!!!,0
"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",1
The food was tasteless and lacked seasoning or spices.,0
So we went to Tigerlilly and had a fantastic afternoon!,1
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,0
"Nice, spicy and tender.",1
2 Thumbs Up!!,1
The restaurant had dirty and unkempt facilities.,0
Tasted like dirt.,0
We were sat right on time and our server from the get go was FANTASTIC!,1
The only downside is the service.,0
It's worth driving up from Tucson!,1
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,0
For that price I can think of a few place I would have much rather gone.,0
We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,0
The restaurant had dirty menus and neglected cleanliness.,0
Great brunch spot.,1
Food was average at best.,0
"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",0
The restaurant had uncomfortable seating and cramped tables.,0
The bus boy on the other hand was so rude.,0
The prices were exorbitant for the quality.,0
"We had fantastic service, and were pleased by the atmosphere.",1
An excellent new restaurant by an experienced Frenchman.,1
The sweet potato fries were very good and seasoned well.,1
"The chains, which I'm no fan of, beat this place easily.",0
The waiters kept forgetting our orders.,0
You won't be disappointed.,1
Won't go back.,0
I recently tried Caballero's and I have been back every week since!,1
