original_review,cleaned_review,tokens,sentiment
The food had a strange and off-putting smell.,food strange offputting smell,food strange offputting smell,0
The prices were way too high for the quality.,price way high quality,price way high quality,0
Crostini that came with the salad was stale.,crostini come salad stale,crostini come salad stale,0
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,table outside also dirty lot time worker not always friendly helpful menu,table outside also dirty lot time worker not always friendly helpful menu,0
Interesting decor.,interest decor,interest decor,1
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.,order appetizer take minute pizza another minute,order appetizer take minute pizza another minute,0
"It was attached to a gas station, and that is rarely a good sign.",attach gas station rarely good sign,attach gas station rarely good sign,0
Tonight I had the Elk Filet special...and it sucked.,tonight elk filet specialand suck,tonight elk filet specialand suck,0
The food had a strange and unpleasant appearance.,food strange unpleasant appearance,food strange unpleasant appearance,0
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,service excellent price pretty reasonable consider vegas locate inside crystal shop mall aria,service excellent price pretty reasonable consider vegas locate inside crystal shop mall aria,1
I can take a little bad service but the food sucks.,take little bad service food suck,take little bad service food suck,0
The goat taco didn't skimp on the meat and wow what FLAVOR!,goat taco not skimp meat wow flavor,goat taco not skimp meat wow flavor,1
"The restaurant had a cold ambiance, lacking warmth and coziness.",restaurant cold ambiance lack warmth coziness,restaurant cold ambiance lack warmth coziness,0
The food was overseasoned and overwhelmed with spices.,food overseasoned overwhelm spice,food overseasoned overwhelm spice,0
The food lacked variety and creativity.,food lack variety creativity,food lack variety creativity,0
The staff was unresponsive and did not address our concerns.,staff unresponsive not address concern,staff unresponsive not address concern,0
I had a pretty satifying experience.,pretty satifying experience,pretty satifying experience,1
My gyro was basically lettuce only.,gyro basically lettuce,gyro basically lettuce,0
Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,not single employee come see ok even need water refill finally serve food,not single employee come see ok even need water refill finally serve food,0
I'd love to go back.,id love go back,id love go back,1
The restaurant had unclean and sticky tables.,restaurant unclean sticky table,restaurant unclean sticky table,0
I was seated immediately.,seat immediately,seat immediately,1
I'll definitely be in soon again.,ill definitely soon,ill definitely soon,1
The portions were disappointing and left us unsatisfied.,portion disappointing leave unsatisfied,portion disappointing leave unsatisfied,0
Everything was perfect the night we were in.,everything perfect night,everything perfect night,1
This place is hands-down one of the best places to eat in the Phoenix metro area.,place handsdown one best place eat phoenix metro area,place handsdown one best place eat phoenix metro area,1
The lighting is just dark enough to set the mood.,lighting dark enough set mood,lighting dark enough set mood,1
"Your servers suck, wait, correction, our server Heimer sucked.",server suck wait correction server heimer suck,server suck wait correction server heimer suck,0
The restaurant had a noisy and chaotic atmosphere.,restaurant noisy chaotic atmosphere,restaurant noisy chaotic atmosphere,0
The food was undercooked and raw.,food undercooked raw,food undercooked raw,0
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",could serve vinaigrette may make good overall dish still good,could serve vinaigrette may make good overall dish still good,1
"Overall, a great experience.",overall great experience,overall great experience,1
The dishes were overly spicy and unbearable.,dish overly spicy unbearable,dish overly spicy unbearable,0
The restaurant had a range of dairy-free options.,restaurant range dairyfree option,restaurant range dairyfree option,1
The portions were ample and great value for money.,portion ample great value money,portion ample great value money,1
The restaurant had a range of vegetarian and vegan options.,restaurant range vegetarian vegan option,restaurant range vegetarian vegan option,1
The portion sizes were ridiculously small.,portion size ridiculously small,portion size ridiculously small,0
The restaurant had unclean restrooms and unpleasant odors.,restaurant unclean restroom unpleasant odor,restaurant unclean restroom unpleasant odor,0
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",perhaps catch night judging review im not inspire go back,perhaps catch night judging review im not inspire go back,0
The restaurant had a charming and cozy atmosphere.,restaurant charming cozy atmosphere,restaurant charming cozy atmosphere,1
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,four star food guy blue shirt great vibe still let eat,four star food guy blue shirt great vibe still let eat,1
